type,time,price,amount,reason,strategy,size,fee,pid,pnl,entry_price,entry_time,closed_by_trailing_stop,closed_at_end
IGNORED,2025-08-16 21:40:56.162000+00:00,104.417494,500.0,no_position_to_close,GridTradingStrategy,,,,,,,,
BUY,2025-08-17 02:40:56.162000+00:00,106.662968,500.0,,MovingAverageCrossoverStrategy,4.687662544698737,0.0,pos_1_1755398456162000000,,,,,
IGNORED,2025-08-17 12:40:56.162000+00:00,107.491516,1.0,already_in_position,DCAStrategy,,,,,,,,
SELL,2025-08-17 18:40:56.162000+00:00,105.670294,495.3466792711037,,MovingAverageCrossoverStrategy,4.687662544698737,0.0,pos_1_1755398456162000000,-4.653320728896312,106.662968,2025-08-17 02:40:56.162000+00:00,,
BUY,2025-08-17 22:40:56.162000+00:00,103.963877,524.7673339635552,,GridTradingStrategy,5.047592963116941,0.0,pos_1_1755470456162000000,,,,,
SELL,2025-08-18 07:40:56.162000+00:00,100.830933,508.9535078753157,,GridTradingStrategy,5.047592963116941,0.0,pos_1_1755470456162000000,-15.813826088239415,103.963877,2025-08-17 22:40:56.162000+00:00,True,
BUY,2025-08-18 18:40:56.162000+00:00,101.516762,1.0,,DCAStrategy,0.009850589994192289,0.0,pos_1_1755542456162000000,,,,,
IGNORED,2025-08-18 19:40:56.162000+00:00,101.959048,550.215009357321,already_in_position,MovingAverageCrossoverStrategy,,,,,,,,
SELL,2025-08-19 01:40:56.162000+00:00,104.47555,1.0291458074677362,,DCAStrategy,0.009850589994192289,0.0,pos_1_1755542456162000000,0.0291458074677362,101.516762,2025-08-18 18:40:56.162000+00:00,,
IGNORED,2025-08-19 21:40:56.162000+00:00,107.050065,550.2664666476944,no_position_to_close,MovingAverageCrossoverStrategy,,,,,,,,
BUY,2025-08-20 00:40:56.162000+00:00,105.98038,1.0,,DCAStrategy,0.009435708760432827,0.0,pos_1_1755650456162000000,,,,,
IGNORED,2025-08-20 02:40:56.162000+00:00,103.66008,550.2664666476944,already_in_position,GridTradingStrategy,,,,,,,,
SELL,2025-08-20 10:40:56.162000+00:00,102.482796,0.9669978160108502,,DCAStrategy,0.009435708760432827,0.0,pos_1_1755650456162000000,-0.03300218398914972,105.98038,2025-08-20 00:40:56.162000+00:00,True,
BUY,2025-08-20 23:40:56.162000+00:00,102.982385,550.3148165384949,,MovingAverageCrossoverStrategy,5.34377618598069,0.0,pos_1_1755733256162000000,,,,,
SELL,2025-08-21 04:40:56.162000+00:00,104.389962,557.8365929910291,,MovingAverageCrossoverStrategy,5.34377618598069,0.0,pos_1_1755733256162000000,7.5217764525341595,102.982385,2025-08-20 23:40:56.162000+00:00,,
IGNORED,2025-08-22 02:40:56.162000+00:00,107.16286,578.2066461880464,no_position_to_close,MovingAverageCrossoverStrategy,,,,,,,,
BUY,2025-08-22 09:40:56.162000+00:00,103.765751,578.2066461880464,,GridTradingStrategy,5.572230149310503,0.0,pos_1_1755855656162000000,,,,,
IGNORED,2025-08-23 04:40:56.162000+00:00,103.744471,578.2066461880464,already_in_position,MovingAverageCrossoverStrategy,,,,,,,,
SELL,2025-08-23 07:40:56.162000+00:00,104.250689,580.9088323321928,,GridTradingStrategy,5.572230149310503,0.0,pos_1_1755855656162000000,2.7021861441463346,103.765751,2025-08-22 09:40:56.162000+00:00,,
IGNORED,2025-08-24 06:40:56.162000+00:00,108.023012,607.2520878046561,no_position_to_close,MovingAverageCrossoverStrategy,,,,,,,,
BUY,2025-08-24 13:40:56.162000+00:00,103.680022,607.2520878046561,,GridTradingStrategy,5.856982628771588,0.0,pos_1_1756042856162000000,,,,,
SELL,2025-08-24 14:40:56.162000+00:00,104.880018,614.2804435312515,,GridTradingStrategy,5.856982628771588,0.0,pos_1_1756042856162000000,7.028355726595466,103.680022,2025-08-24 13:40:56.162000+00:00,,True
SELL,2025-08-24 14:40:56.162000+00:00,104.880018,614.2804435312515,,GridTradingStrategy,5.856982628771588,0.0,,7.028355726595466,103.680022,2025-08-24 13:40:56.162000+00:00,,True
